m_squark,Tree_XSection,Virt_XSection,Real_XSection,1L_XSection100  2084.29  -782.108   629.1271931.31
138  1633.55  -310.399   317.92   1641.08
157  1462.16  -187.461   237.986   1512.69
176  1315.39  -103.173   181.698   1393.91
195  1187.84  -44.443   150.218   1293.61
214  1076.27  -2.98193   123.298   1196.59
233  977.805  26.3432   96.5671   1100.72
252  890.36  47.0693   77.1556   1014.58
271  812.326  61.5199   68.0401   941.886
290  742.404  71.4215   52.5862   866.412
309  679.508  78.0177   50.353   807.879
328  622.75  81.9617   41.55   746.261
347  571.414  84.1888   34.7992   690.402
366  524.865  84.881   32.9422   642.688
385  482.568  84.5227   26.6982   593.789
404  444.053  83.5148   26.2544   553.822
423  408.931  81.8664   23.6533   514.451
442  376.85  79.8551   18.044   474.749
461  347.519  77.5044   15.585   440.608
480  320.666  74.9901   16.5994   412.256
499  296.102  72.2815   14.3661   382.75
518  273.459  69.4793   13.1992   356.138
537  252.71  66.7256   11.9538   331.39
556  233.632  63.8937   11.5187   309.045
575  216.079  61.1813   11.1375   288.398
594  199.918  58.4652   9.61756   268.001
613  185.033  55.8177   8.8937   249.745
632  171.307  53.255   8.94783   233.51
651  158.644  50.7036   7.93993   217.287
670  146.96  48.2896   6.86785   202.117
689  136.169  45.9918   8.38009   190.541
708  126.217  43.6829   7.26794   177.168
727  116.984  41.4965   6.62891   165.11
746  108.462  39.3932   6.50969   154.364
765  100.584  37.4123   6.01148   144.008
784  93.2856  35.3498   6.191   134.826
803  86.5336  33.6421   5.56464   125.74
822  80.2826  31.8874   4.92419   117.094
841  74.4914  30.2459   4.8951   109.632
860  69.123  28.6493   4.18078   101.953
879  64.1554  27.1135   4.53247   95.8013
898  59.5442  25.6404   3.82325   89.0078
917  55.2747  24.2201   3.74865   83.2434
936  51.3132  22.8612   3.68913   77.8635
955  47.6391  21.5706   3.65441   72.8642
974  44.2298  20.3426   3.54879   68.1211
993  41.0674  19.1559   3.1127   63.336
1012  38.133  17.9626   3.0769   59.1725
1031  35.4094  16.9017   2.88249   55.1935
1050  32.8817  15.9437   2.80185   51.6272
1069  30.5357  15.0491   2.689   48.2738
1088  28.357  14.1918   2.4485   44.9973
1107  26.3348  13.3871   2.3062   42.0282
1126  24.4565  12.6242   2.1985   39.2792
1145  22.7129  11.8935   2.14518   36.7516
1164  21.0936  11.2018   1.96471   34.2601
1183  19.5892  10.5344   1.87444   31.998
1202  18.1923  9.90797   1.70535   29.8056
1221  16.8949  9.31353   1.6558   27.8642
1240  15.6894  8.75597   1.49827   25.9437
1259  14.5698  8.22102   1.50957   24.3004
1278  13.5295  7.72069   1.39848   22.6487
1297  12.5632  7.22656   1.38167   21.1715
1316  11.6657  6.77306   1.30252   19.7413
1335  10.8317  6.34181   1.22798   18.4014
1354  10.0571  5.93913   1.15411   17.1503
1373  9.33725  5.56192   1.15577   16.0549
1392  8.66866  5.20655   1.01457   14.8898
1411  8.04747  4.86889   0.936052   13.8524
1430  7.47054  4.55401   0.920104   12.9447
1449  6.93453  4.2545   0.862052   12.0511
1468  6.43649  3.97038   0.783226   11.1901
1487  5.97397  3.70789   0.762437   10.4443
1506  5.5443  3.45924   0.698509   9.70204
1525  5.14519  3.2269   0.666857   9.03895
1544  4.77446  3.00777   0.642493   8.42473
1563  4.43007  2.80569   0.608143   7.84389
1582  4.11029  2.61656   0.561823   7.28867
1601  3.81324  2.43824   0.533071   6.78455
1620  3.53736  2.27212   0.511556   6.32103
1639  3.2812  2.11792   0.473758   5.87288
1658  3.04329  1.97111   0.440165   5.45457
1677  2.82218  1.83395   0.427658   5.08379
1696  2.61728  1.70617   0.390864   4.71431
1715  2.42683  1.58859   0.370795   4.38622
1734  2.25003  1.47772   0.347035   4.07479
1753  2.08591  1.37431   0.328076   3.7883
1772  1.93356  1.27666   0.30895   3.51917
1791  1.79213  1.18589   0.291822   3.26984
1810  1.66087  1.10411   0.277873   3.04285
1829  1.53906  1.0258   0.262994   2.82786
1848  1.42603  0.952662   0.242165   2.62086
1867  1.32117  0.884849   0.226807   2.43282
1886  1.22385  0.821557   0.213262   2.25867
1905  1.1336  0.762328   0.204799   2.10073
1924  1.04984  0.707679   0.188212   1.94573
1943  0.972166  0.656876   0.178464   1.80751
1962  0.900127  0.609951   0.166282   1.67636
1981  0.83332  0.565849   0.155301   1.55447
2000  0.771363  0.524192   0.145673   1.44123
